freq,c_resid,unit,nace_r2,geo\TIME_PERIOD	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 	2025 
A,DOM,PCH_PRE,I553,SE31	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	35 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-6.1 	: 	13.73 	4.44 	9.59 	2.46 	-1.41 	0.88 	2.36 	-1.13 	-0.26 	7.24 	-4.4 	3.88 	: 
A,DOM,PCH_PRE,I553,SE32	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	9 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-9.19 	: 	9.04 	13 	1.2 	3.21 	-0.55 	-4.86 	14.58 	10.66 	7.35 	-11.79 	0.23 	-1.85 	: 
A,DOM,PCH_PRE,I553,SE33	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	9 	: 	: 	: 	: 	: 	: 	: 	: 	: 	8.38 	: 	3.56 	3.95 	10.09 	10.66 	7.9 	-11.16 	4.41 	-16.13 	13.99 	-11.42 	14.35 	-1.33 	: 
A,DOM,PCH_PRE,I553,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-8 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.31 	: 	-2.15 	-11.09 	13.24 	1.87 	6.24 	: 	: 	39.66 	-2.31 	-12.02 	-18.15 	6.25 	-0.41 
A,DOM,PCH_PRE,I553,SI0	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-42 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.31 	: 	-2.15 	-11.09 	13.24 	1.87 	6.24 	: 	: 	39.66 	-2.31 	-12.02 	-18.15 	6.25 	-0.41 
A,DOM,PCH_PRE,I553,SI03	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.04 	: 	3.51 	-5.03 	1.57 	-0.76 	5.54 	: 	: 	14.29 	5.03 	-1.2 	-13.94 	8.33 	0.67 
A,DOM,PCH_PRE,I553,SI04	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	12.28 	: 	-10.66 	-21.64 	37.88 	5.94 	7.26 	: 	: 	79.45 	-9.64 	-24.59 	-24.55 	2.65 	-2.39 
A,DOM,PCH_PRE,I553,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-12.39 	: 	3.28 	-24.63 	30.46 	8.02 	9.57 	21.81 	-6 	16.2 	6.79 	-15.63 	20.56 	21.56 	: 
A,DOM,PCH_PRE,I553,SK0	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-12.39 	: 	3.28 	-24.63 	30.46 	8.02 	9.57 	21.81 	-6 	16.2 	6.79 	-15.63 	20.56 	21.56 	: 
A,DOM,PCH_PRE,I553,SK01	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	157.05 	: 	36.24 	-48.57 	173.74 	45.11 	-40.96 	-2.74 	4.47 	7.8 	12.95 	2.17 	-19.61 	7.85 	: 
A,DOM,PCH_PRE,I553,SK02	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-31.97 	: 	11.76 	-0.64 	30.52 	-10.55 	4.59 	0.79 	8.88 	-9.45 	22.92 	-12.77 	21.94 	21.69 	: 
A,DOM,PCH_PRE,I553,SK03	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-11.06 	: 	-8.82 	-17.74 	25.48 	-7.25 	64.75 	12.63 	-7.8 	23.68 	-5.98 	-23.1 	47.75 	28.27 	: 
A,DOM,PCH_PRE,I553,SK04	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	17.25 	: 	-1.05 	-64.26 	-18.54 	150.35 	-18 	133.6 	-27.14 	59.93 	4.09 	-14.76 	-0.26 	13.28 	: 
A,DOM,PCH_PRE,I553,TR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	475.48 	13.32 	476.04 	: 	: 	29.25 	-16.08 	48.94 	5.23 	-31.52 	21.32 	: 
A,DOM,PCH_PRE,I553,TR1	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	314.09 	183.17 	-50.68 	: 	: 	12.57 	57.23 	72.53 	93.99 	-91.1 	162.23 	: 
A,DOM,PCH_PRE,I553,TR10	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	314.09 	183.17 	-50.68 	: 	: 	12.57 	57.23 	72.53 	93.99 	-91.1 	162.23 	: 
A,DOM,PCH_PRE,I553,TR2	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	305.37 	196.45 	-20.3 	124.13 	-41.12 	122.16 	: 
A,DOM,PCH_PRE,I553,TR21	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3259.49 	149.38 	: 
A,DOM,PCH_PRE,I553,TR22	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	305.37 	196.45 	-20.3 	120.96 	-88.42 	9.01 	: 
A,DOM,PCH_PRE,I553,TR3	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	95.91 	259.08 	56.04 	: 	: 	-6.66 	-38.8 	93.46 	71.8 	53.71 	4.62 	: 
A,DOM,PCH_PRE,I553,TR31	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	95.91 	259.08 	31.09 	: 	: 	-5.73 	-54.73 	147.11 	22.3 	-36.68 	27.74 	: 
A,DOM,PCH_PRE,I553,TR32	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-12.25 	-18.94 	83 	52.82 	-16.19 	-4.8 	: 
A,DOM,PCH_PRE,I553,TR33	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5.36 	-48.47 	33.05 	320.9 	255.55 	4.35 	: 
A,DOM,PCH_PRE,I553,TR4	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-42.47 	7.94 	7.21 	: 	: 	51.96 	-4.5 	96.13 	-37.04 	-48.08 	30.22 	: 
A,DOM,PCH_PRE,I553,TR41	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-77.69 	119.66 	: 
A,DOM,PCH_PRE,I553,TR42	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-42.47 	7.94 	7.21 	: 	: 	51.96 	-4.5 	96.13 	-50.03 	-40.38 	21.51 	: 
A,DOM,PCH_PRE,I553,TR6	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-88.86 	7358.05 	: 	: 	21.04 	-32.21 	45.32 	-13.14 	-78.52 	3.76 	: 
A,DOM,PCH_PRE,I553,TR61	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-88.86 	7358.05 	: 	: 	80.1 	-4.28 	112.35 	-47.58 	114.28 	5.84 	: 
A,DOM,PCH_PRE,I553,TR62	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	19.76 	-36.38 	42.5 	-4.86 	-96.33 	61.58 	: 
A,DOM,PCH_PRE,I553,TR63	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-10.22 	43.78 	-8.73 	-85.42 	248.47 	: 	: 
A,DOM,PCH_PRE,I553,TR7	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	26.67 	-50.88 	: 
A,DOM,PCH_PRE,I553,TR71	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	26.67 	-50.88 	: 
A,DOM,PCH_PRE,I553,TR8	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	72.44 	-16.5 	-13.22 	-44.03 	-97.72 	748.83 	: 
A,DOM,PCH_PRE,I553,TR81	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	67.54 	-47.74 	-18.49 	-1.08 	: 	: 	: 
A,DOM,PCH_PRE,I553,TR83	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	78.32 	18.7 	-10.61 	-63.46 	-94.92 	748.83 	: 
A,DOM,PCH_PRE,I553,TR9	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	463.51 	-32.34 	: 	: 	: 
A,DOM,PCH_PRE,I553,TR90	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	463.51 	-32.34 	: 	: 	: 
A,DOM,PCH_PRE,I553,TRB	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-44.25 	21.63 	: 
A,DOM,PCH_PRE,I553,TRB1	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-44.25 	21.63 	: 
A,DOM,PCH_PRE,I553,UK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-15 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-5.18 	: 	1.5 	-4.02 	0.72 	-1.86 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DOM,PCH_PRE,I553,UKC	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	186 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7.16 	: 	-2.75 	: 	: 	-1.86 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DOM,PCH_PRE,I553,UKC1	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	75 	: 	: 	: 	: 	: 	: 	: 	: 	: 	12.41 	: 	30.77 	: 	: 	-1.86 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DOM,PCH_PRE,I553,UKC2	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	333 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5.75 	: 	-12.13 	: 	: 	-1.86 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DOM,PCH_PRE,I553,UKD	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-29 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-20.42 	: 	1.79 	: 	: 	-1.86 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DOM,PCH_PRE,I553,UKD1	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-31 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-2.18 	: 	-7.62 	: 	: 	-1.86 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DOM,PCH_PRE,I553,UKD3	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	25 	: 	: 	: 	: 	: 	: 	: 	: 	: 	8.85 	: 	-92.66 	: 	: 	-1.86 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DOM,PCH_PRE,I553,UKD4	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-55 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-57.82 	: 	48.54 	: 	: 	-1.86 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DOM,PCH_PRE,I553,UKD6	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-20 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-20.33 	: 	44.21 	: 	: 	-1.86 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DOM,PCH_PRE,I553,UKD7	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	13 	: 	: 	: 	: 	: 	: 	: 	: 	: 	66.75 	: 	-10.42 	: 	: 	-1.86 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DOM,PCH_PRE,I553,UKE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	14 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-7.47 	: 	-26.99 	: 	: 	-1.86 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DOM,PCH_PRE,I553,UKE1	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	70 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-33.28 	: 	-36.49 	: 	: 	-1.86 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DOM,PCH_PRE,I553,UKE2	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	10 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.84 	: 	-26.05 	: 	: 	-1.86 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DOM,PCH_PRE,I553,UKE3	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-33.08 	: 	-46.15 	: 	: 	-1.88 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DOM,PCH_PRE,I553,UKE4	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-43 	: 	: 	: 	: 	: 	: 	: 	: 	: 	39.09 	: 	38.46 	: 	: 	-1.86 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DOM,PCH_PRE,I553,UKF	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6.26 	: 	0.51 	: 	: 	-1.86 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DOM,PCH_PRE,I553,UKF1	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-19 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.08 	: 	34.39 	: 	: 	-1.6 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DOM,PCH_PRE,I553,UKF2	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	14 	: 	: 	: 	: 	: 	: 	: 	: 	: 	135.7 	: 	81.67 	: 	: 	-1.86 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DOM,PCH_PRE,I553,UKF3	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	24 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-5.37 	: 	-19.46 	: 	: 	-1.86 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DOM,PCH_PRE,I553,UKG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-23 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-7.64 	: 	11.56 	: 	: 	-1.86 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DOM,PCH_PRE,I553,UKG1	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	11 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-15.82 	: 	11.14 	: 	: 	-1.86 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DOM,PCH_PRE,I553,UKG2	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-67 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-16.59 	: 	30.49 	: 	: 	-1.86 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DOM,PCH_PRE,I553,UKG3	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	200 	: 	: 	: 	: 	: 	: 	: 	: 	: 	101.54 	: 	-33.85 	: 	: 	-1.86 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DOM,PCH_PRE,I553,UKH	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-28.3 	: 	-11.46 	: 	: 	-1.86 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DOM,PCH_PRE,I553,UKH1	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	13 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-32.05 	: 	-5.88 	: 	: 	-1.97 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DOM,PCH_PRE,I553,UKH2	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	25 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.02 	: 	-8.62 	: 	: 	-1.86 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DOM,PCH_PRE,I553,UKH3	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-25 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-21.82 	: 	-32.35 	: 	: 	-1.86 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DOM,PCH_PRE,I553,UKI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	125 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-17.91 	: 	236.54 	: 	: 	-1.29 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DOM,PCH_PRE,I553,UKI3	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.41 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DOM,PCH_PRE,I553,UKI4	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-1.88 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DOM,PCH_PRE,I553,UKI5	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-1.88 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DOM,PCH_PRE,I553,UKI6	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-1.85 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DOM,PCH_PRE,I553,UKI7	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-1.9 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DOM,PCH_PRE,I553,UKJ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-37 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-12.4 	: 	13.58 	: 	: 	-1.86 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DOM,PCH_PRE,I553,UKJ1	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-21 	: 	: 	: 	: 	: 	: 	: 	: 	: 	13.38 	: 	-22.79 	: 	: 	-1.86 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DOM,PCH_PRE,I553,UKJ2	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-7 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-44.65 	: 	57.05 	: 	: 	-1.86 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DOM,PCH_PRE,I553,UKJ3	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-65 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-7.49 	: 	-6.66 	: 	: 	-1.86 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DOM,PCH_PRE,I553,UKJ4	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-16 	: 	: 	: 	: 	: 	: 	: 	: 	: 	28.17 	: 	35.1 	: 	: 	-1.86 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DOM,PCH_PRE,I553,UKK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-37 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5.41 	: 	1 	: 	: 	-1.86 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DOM,PCH_PRE,I553,UKK1	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-17 	: 	: 	: 	: 	: 	: 	: 	: 	: 	16.54 	: 	16.83 	: 	: 	-1.86 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DOM,PCH_PRE,I553,UKK2	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-58 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-24.24 	: 	11.39 	: 	: 	-1.86 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DOM,PCH_PRE,I553,UKK3	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-1.78 	: 	-7.87 	: 	: 	-1.86 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DOM,PCH_PRE,I553,UKK4	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	51.44 	: 	-5.19 	: 	: 	-1.86 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DOM,PCH_PRE,I553,UKL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-27 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-7.5 	: 	1.45 	: 	: 	-1.86 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DOM,PCH_PRE,I553,UKL1	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-12.8 	: 	-3.1 	: 	: 	-1.86 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DOM,PCH_PRE,I553,UKL2	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	60.76 	: 	35.14 	: 	: 	-1.86 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DOM,PCH_PRE,I553,UKM	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	28 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7.58 	: 	25 	: 	: 	-1.86 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DOM,PCH_PRE,I553,UKM2	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-67 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DOM,PCH_PRE,I553,UKM3	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-29 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DOM,PCH_PRE,I553,UKM5	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	38.22 	: 	50 	: 	: 	-1.86 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DOM,PCH_PRE,I553,UKM6	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-50 	: 	: 	: 	: 	: 	: 	: 	: 	: 	55.9 	: 	14.05 	: 	: 	-1.86 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DOM,PCH_PRE,I553,UKN	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	10 	: 	: 	: 	: 	: 	: 	: 	: 	: 	17.3 	: 	3.69 	: 	: 	-1.86 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DOM,PCH_PRE,I553,UKN0	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	10 	: 	: 	: 	: 	: 	: 	: 	: 	: 	17.3 	: 	3.69 	: 	: 	-1.86 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,FOR,NR,I551,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	690756 e	736072 e	280514 e	656500 e	846359 e	1305194 e	2043554 	: 
A,FOR,NR,I551,AL0	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	690756 e	736072 e	280514 e	656500 e	846359 e	1305194 e	2043554 	: 
A,FOR,NR,I551,AL01	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	161574 e	206096 e	58166 e	191590 e	225379 e	307372 e	386473 	: 
A,FOR,NR,I551,AL02	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	308687 e	307121 e	147466 e	309097 e	408520 e	626499 e	1090760 	: 
A,FOR,NR,I551,AL03	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	220494 e	222855 e	74882 e	155813 e	212460 e	371322 e	566318 	: 
